id	filename	md5	size	state
022d0828-10d7-4986-bd00-db6d37f48804	jhu-usc.edu_BRCA.HumanMethylation450.15.lvl-3.TCGA-A7-A26G-01A-21D-A16A-05.gdc_hg38.txt	04b7abaff790dd169abbc9f058bdc0b9	141279161	validated
02301008-da4f-447f-8ecc-79c5df07f8e6	jhu-usc.edu_LGG.HumanMethylation450.13.lvl-3.TCGA-DB-A75O-01A-11D-A32C-05.gdc_hg38.txt	a4ae754eb23bcd7b27010437e2763989	141284121	validated
023056f0-eb91-4796-9b9c-7347b061bcec	jhu-usc.edu_BLCA.HumanMethylation450.22.lvl-3.TCGA-XF-A9T8-01A-11D-A392-05.gdc_hg38.txt	060fed3f8d82e6500be294f964054a71	141285826	validated
0232c43c-f118-4da1-917a-1f4fedbfd3af	jhu-usc.edu_SKCM.HumanMethylation450.7.lvl-3.TCGA-BF-A5EQ-01A-21D-A27L-05.gdc_hg38.txt	1deb53e7178152b3e7d91fde6319b7f8	141272250	validated
024e513f-32b6-4224-abfc-9d6c191bcbed	jhu-usc.edu_PRAD.HumanMethylation450.4.lvl-3.TCGA-EJ-7115-01A-11D-2116-05.gdc_hg38.txt	23b5f1f4c4fd2b83712995f2bf719482	141283766	validated
0250bc0a-5fdd-4cac-a52c-c4a3d1f0435d	jhu-usc.edu_STAD.HumanMethylation450.6.lvl-3.TCGA-CD-8525-01A-11D-2342-05.gdc_hg38.txt	c4da755edba9752e6a90084feff92e81	141279520	validated
02592889-c63f-40b0-beb4-c538b2d1b797	jhu-usc.edu_BRCA.HumanMethylation450.13.lvl-3.TCGA-D8-A1XT-01A-11D-A14N-05.gdc_hg38.txt	b086b149fdef7638a5892feae450ed39	141285469	validated
025a71ff-361e-4b76-bad3-cceb525b0a7e	jhu-usc.edu_UCEC.HumanMethylation450.11.lvl-3.TCGA-BG-A2AD-11A-11D-A16G-05.gdc_hg38.txt	fbf47865077c007197a82bd4aeee30b6	141265116	validated
025ce1c7-b58f-45a1-badc-00169a43a9fb	jhu-usc.edu_BRCA.HumanMethylation450.3.lvl-3.TCGA-B6-A0IK-01A-12D-A10P-05.gdc_hg38.txt	23ed81968d3dacb33bc79137229fc2ea	141250128	validated
0262c4cb-1223-48a6-9d0c-ae8c2e744a9c	jhu-usc.edu_STAD.HumanMethylation450.6.lvl-3.TCGA-HU-8249-01A-11D-2342-05.gdc_hg38.txt	ffd8d217c7fbfd9f57a6458e0aa81058	141285052	validated
0276c298-fed3-4222-a496-dbf81550bb13	jhu-usc.edu_UCEC.HumanMethylation450.17.lvl-3.TCGA-FI-A3PX-01A-11D-A22B-05.gdc_hg38.txt	5d1e6d7430cc46f13617a1f1f25e7d20	141310963	validated
028c40e2-6e8f-49d9-a149-a1fd2a34aaee	jhu-usc.edu_KIRC.HumanMethylation450.3.lvl-3.TCGA-CJ-4907-01A-01D-1424-05.gdc_hg38.txt	992569d9fd2f163aa0363be9bc47b5c0	141302586	validated
